date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,name
2020-09-18T00:00:00,4720,4720,4720,4810,4700,4740,20,43650100,2.07295E+11,10101,22.8,4750,375800,4740,222000,18462169893,18462169893,18462169893,14409500,11288900,,1073040,5109704740,13,BNI
2020-09-21T00:00:00,4740,4760,4750,4760,4550,4590,-150,44015600,2.04378E+11,18559,22.1,4590,594500,4580,630600,18462169893,18462169893,18462169893,8225200,2474800,,6798,31808300,5,BNI
2020-09-22T00:00:00,4590,4500,4490,4640,4460,4540,-50,48240400,2.19351E+11,13408,21.8,4540,300600,4530,631300,18462169893,18462169893,18462169893,8812600,8613400,,182614,908821380,3,BNI
2020-09-23T00:00:00,4540,4570,4580,4600,4360,4420,-120,55814500,2.48761E+11,17113,21.3,4430,24300,4420,3541800,18462169893,18462169893,18462169893,13219100,5537000,,193159,857253300,13,BNI
2020-09-24T00:00:00,4420,4360,4360,4400,4310,4330,-90,50774500,2.2027E+11,11747,20.8,4340,837400,4330,124500,18462169893,18462169893,18462169893,22707300,9901500,,1150015,5002566300,2,BNI
2020-09-25T00:00:00,4330,4360,4370,4600,4360,4600,270,54992300,2.47063E+11,14355,22.1,4600,775100,4590,44900,18462169893,18462169893,18462169893,3773300,10326700,,0,0,0,BNI
2020-09-28T00:00:00,4600,4650,4650,4690,4500,4540,-60,31059400,1.42026E+11,9329,21.8,4550,106700,4540,198100,18462169893,18462169893,18462169893,5860700,3394200,,146600,656940000,8,BNI
2020-09-29T00:00:00,4540,4600,4600,4650,4470,4510,-30,42230000,1.92307E+11,10053,21.7,4520,33100,4510,615300,18462169893,18462169893,18462169893,13392800,11820900,,26000,118562000,2,BNI
2020-09-30T00:00:00,4510,4550,4550,4560,4370,4440,-70,31951700,1.41855E+11,9338,21.4,4450,168400,4440,170500,18462169893,18462169893,18462169893,9337900,4640500,,6713,20473990,8,BNI
2020-10-01T00:00:00,4440,4490,4480,4580,4470,4570,130,25883000,1.17215E+11,5962,22,4580,529700,4570,1163200,18462169893,18462169893,18462169893,2127100,909300,,99,439560,1,BNI
2020-10-02T00:00:00,4570,4580,4570,4590,4380,4510,-60,30715500,1.37865E+11,9733,21.7,4510,336100,4500,222100,18462169893,18462169893,18462169893,2587700,1646100,,0,0,0,BNI
2020-10-05T00:00:00,4510,4540,4540,4620,4500,4620,110,29857100,1.36395E+11,6673,22.2,4630,484800,4620,121000,18462169893,18462169893,18462169893,2021400,1137800,,0,0,0,BNI
2020-10-06T00:00:00,4620,4710,4720,4740,4650,4670,50,49034100,2.29889E+11,11251,22.5,4680,509900,4670,178800,18462169893,18462169893,18462169893,10270700,6496500,,85120,389511600,16,BNI
2020-10-07T00:00:00,4670,4620,4620,4690,4610,4670,0,24101700,1.11979E+11,6533,22.5,4670,72400,4660,90300,18462169893,18462169893,18462169893,3371600,6206900,,136,634803,4,BNI
2020-10-08T00:00:00,4670,4720,4710,4720,4650,4670,0,21083400,98575720000,5909,22.5,4680,89600,4670,52900,18462169893,18462169893,18462169893,5213800,3124300,,133946,622640550,15,BNI
2020-10-09T00:00:00,4670,4700,4690,4700,4620,4640,-30,25505200,1.18761E+11,6636,22.3,4650,747100,4640,432700,18462169893,18462169893,18462169893,14193500,7007800,,50000,233500000,1,BNI
2020-10-12T00:00:00,4640,4690,4700,4710,4660,4670,30,31644500,1.4809E+11,7335,22.5,4680,166800,4670,600,18462169893,18462169893,18462169893,18834100,10906200,,41,190640,2,BNI
2020-10-13T00:00:00,4670,4670,4680,4780,4620,4760,90,45256200,2.13393E+11,11424,22.9,4760,227700,4750,580300,18462169893,18462169893,18462169893,13432400,10024600,,637069,2980209610,2,BNI
2020-10-14T00:00:00,4760,4760,4770,4950,4760,4950,190,66920300,3.26418E+11,15019,23.8,4950,41500,4940,236400,18462169893,18462169893,18462169893,5969700,32086500,,671650,3023132500,3,BNI
2020-10-15T00:00:00,4950,4950,4940,4950,4780,4780,-170,53219700,2.58356E+11,16349,23,4790,164800,4780,329900,18462169893,18462169893,18462169893,11221100,5585900,,411705,1967959900,3,BNI
2020-10-16T00:00:00,4780,4850,4850,4860,4760,4810,30,27057500,1.30177E+11,6205,23.1,4820,89100,4810,487500,18462169893,18462169893,18462169893,3770900,2553600,,3643826,17422637960,4,BNI
2020-10-19T00:00:00,4810,4850,4850,4900,4820,4890,80,36507600,1.77846E+11,7178,23.5,4890,277400,4880,176600,18462169893,18462169893,18462169893,11517200,2900800,,10146,48809560,3,BNI
2020-10-20T00:00:00,4890,4870,4860,4890,4810,4810,-80,28628400,1.38584E+11,6296,23.1,4820,59000,4810,1526700,18462169893,18462169893,18462169893,9322200,1637500,,8133400,39669631200,3,BNI
2020-10-21T00:00:00,4810,4850,4850,4930,4850,4880,70,44696300,2.18247E+11,7554,23.5,4890,431000,4880,17600,18462169893,18462169893,18462169893,6135900,13874800,,5568500,26945495500,4,BNI
2020-10-22T00:00:00,4880,4830,4830,4880,4830,4860,-20,22289100,1.08322E+11,5091,23.4,4870,243200,4860,301000,18462169893,18462169893,18462169893,12090700,8469600,,3524354,17227037750,37,BNI
2020-10-23T00:00:00,4860,4860,4860,4900,4840,4850,-10,23111100,1.12369E+11,5768,23.3,4860,465700,4850,822100,18462169893,18462169893,18462169893,10847700,7578800,,410810,1996537056,3,BNI
